time_s,segment_index,burn_kind,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,hj_brt_value,hj_brt_unsafe,passive_safe,inner_koz_inside,outer_corridor_unsafe_far,row_kind
0.0,-1,,0.0,3200.0,0.0,0.0,0.0,0.0,5352.800950270435,0,1,0,0,segment_boundary
45.0,0,approach,-0.949571159177026,3194.643687761453,0.0,-0.027194046420759635,-0.11785137371055265,0.0,5325.379919478676,0,1,0,0,segment_boundary
50.0,1,approach,-1.1411820246465254,3193.655504168535,0.0,-0.03945009538351235,-0.19741780942322928,0.0,5315.840386209025,0,1,0,0,sample_50s
90.0,1,approach,-3.079454457654208,3185.8410778563066,0.0,-0.05744698590022247,-0.19303201583059248,0.0,5290.078527872549,0,1,0,0,segment_boundary
100.0,2,coast,-3.6763420716644646,3183.91742616692,0.0,-0.061929263548322545,-0.19168141834570307,0.0,5283.851672721144,0,1,0,0,sample_50s
150.0,2,coast,-7.330806038338778,3174.5295782746643,0.0,-0.08421031237972341,-0.1834123410082663,0.0,5254.178393750199,0,1,0,0,segment_boundary
